"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline2","baseline2_014","Neg 0 E_1",75,"negative",,"none",,"E","chair","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Aff 0 C_1",78,"affirmative",,"none",,"C","paper","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Aff C D_1",86,"affirmative",,"conflated",,"D","plank","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Neg 0 A_1",88,"negative",,"none",,"A","leaf","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_014","Aff P E_1",94,"affirmative",,"path",,"E","chair","1",,33.9131243031367,,TRUE,
"baseline2","baseline2_015","Neg 0 C_1",0,"negative",,"none",,"C","paper","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Aff C C_1",0,"affirmative",,"conflated",,"C","paper","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Neg C E_1",10,"negative",,"conflated",,"E","chair","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Aff M E_1",11,"affirmative",,"manner",,"E","chair","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Neg C A_1",20,"negative",,"conflated",,"A","leaf","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Aff 0 A_1",34,"affirmative",,"none",,"A","leaf","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Aff 0 D_1",35,"affirmative",,"none",,"D","plank","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Neg M D_1",36,"negative",,"manner",,"D","plank","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Aff M B_1",81,"affirmative",,"manner",,"B","car","1",,30.458715227884,,TRUE,
"baseline2","baseline2_015","Neg P B_1",85,"negative",,"path",,"B","car","1",,30.458715227884,,TRUE,
"baseline2","baseline2_016","Neg 0 A_1",80,"negative",,"none",,"A","leaf","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Neg P D_1",84,"negative",,"path",,"D","plank","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Neg 0 E_1",85,"negative",,"none",,"E","chair","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Aff 0 C_1",91,"affirmative",,"none",,"C","paper","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Neg C C_1",94,"negative",,"conflated",,"C","paper","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Aff C A_1",97,"affirmative",,"conflated",,"A","leaf","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Aff P B_1",100,"affirmative",,"path",,"B","car","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Neg M B_1",100,"negative",,"manner",,"B","car","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Aff C D_1",100,"affirmative",,"conflated",,"D","plank","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_016","Aff P E_1",100,"affirmative",,"path",,"E","chair","1",,7.68042244208539,,TRUE,
"baseline2","baseline2_017","Neg M C_1",0,"negative",,"manner",,"C","paper","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Neg P E_1",0,"negative",,"path",,"E","chair","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Neg C D_1",0,"negative",,"conflated",,"D","plank","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Aff M D_1",34,"affirmative",,"manner",,"D","plank","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Aff C E_1",38,"affirmative",,"conflated",,"E","chair","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Neg P A_1",38,"negative",,"path",,"A","leaf","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Aff C B_1",58,"affirmative",,"conflated",,"B","car","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Aff M A_1",60,"affirmative",,"manner",,"A","leaf","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Neg 0 B_1",69,"negative",,"none",,"B","car","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_017","Aff P C_1",77,"affirmative",,"path",,"C","paper","1",,29.2696277924936,,TRUE,
"baseline2","baseline2_018","Neg 0 E_1",6,"negative",,"none",,"E","chair","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Neg P D_1",24,"negative",,"path",,"D","plank","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Neg C C_1",25,"negative",,"conflated",,"C","paper","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Aff P E_1",31,"affirmative",,"path",,"E","chair","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Aff 0 C_1",32,"affirmative",,"none",,"C","paper","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Neg 0 A_1",49,"negative",,"none",,"A","leaf","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Aff P B_1",50,"affirmative",,"path",,"B","car","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Neg M B_1",50,"negative",,"manner",,"B","car","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Aff C D_1",64,"affirmative",,"conflated",,"D","plank","1",,19.501851763928,,TRUE,
"baseline2","baseline2_018","Aff C A_1",68,"affirmative",,"conflated",,"A","leaf","1",,19.501851763928,,TRUE,
"baseline2","baseline2_019","Aff C A_1",30,"affirmative",,"conflated",,"A","leaf","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Neg P D_1",37,"negative",,"path",,"D","plank","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Neg 0 E_1",62,"negative",,"none",,"E","chair","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Neg C C_1",63,"negative",,"conflated",,"C","paper","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Neg 0 A_1",65,"negative",,"none",,"A","leaf","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Neg M B_1",65,"negative",,"manner",,"B","car","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Aff P E_1",65,"affirmative",,"path",,"E","chair","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Aff 0 C_1",69,"affirmative",,"none",,"C","paper","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Aff C D_1",76,"affirmative",,"conflated",,"D","plank","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_019","Aff P B_1",91,"affirmative",,"path",,"B","car","1",,17.5185615847877,,TRUE,
"baseline2","baseline2_020","Neg P D_1",0,"negative",,"path",,"D","plank","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Neg 0 A_1",0,"negative",,"none",,"A","leaf","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Neg C C_1",1,"negative",,"conflated",,"C","paper","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Neg M B_1",24,"negative",,"manner",,"B","car","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Aff 0 C_1",27,"affirmative",,"none",,"C","paper","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Neg 0 E_1",28,"negative",,"none",,"E","chair","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Aff P E_1",39,"affirmative",,"path",,"E","chair","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Aff C D_1",71,"affirmative",,"conflated",,"D","plank","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Aff P B_1",91,"affirmative",,"path",,"B","car","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_020","Aff C A_1",99,"affirmative",,"conflated",,"A","leaf","1",,36.9594372251527,,TRUE,
"baseline2","baseline2_021","Aff P E_1",58,"affirmative",,"path",,"E","chair","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Aff 0 C_1",68,"affirmative",,"none",,"C","paper","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Neg M B_1",69,"negative",,"manner",,"B","car","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Aff C D_1",73,"affirmative",,"conflated",,"D","plank","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Aff P B_1",75,"affirmative",,"path",,"B","car","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Neg P D_1",84,"negative",,"path",,"D","plank","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Neg 0 A_1",87,"negative",,"none",,"A","leaf","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Aff C A_1",90,"affirmative",,"conflated",,"A","leaf","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Neg C C_1",91,"negative",,"conflated",,"C","paper","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_021","Neg 0 E_1",96,"negative",,"none",,"E","chair","1",,12.2787078581855,,TRUE,
"baseline2","baseline2_022","Aff 0 A_1",53,"affirmative",,"none",,"A","leaf","1",,13.3454111963626,,TRUE,
