"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline1","baseline1_018","Aff 0 E_1",0,"affirmative",,,"no_motion","E","chair","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Neg M D_1",0,"negative",,,"manner","D","plank","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Neg 0 C_1",18,"negative",,,"no_motion","C","paper","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Aff M B_1",71,"affirmative",,,"manner","B","car","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Aff P D_1",79,"affirmative",,,"path","D","plank","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_018","Aff P C_1",98,"affirmative",,,"path","C","paper","1",,39.6293942533682,,TRUE,
"baseline1","baseline1_019","Neg M C_1",0,"negative",,,"manner","C","paper","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Aff 0 D_1",0,"affirmative",,,"no_motion","D","plank","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Neg C A_1",0,"negative",,,"conflated","A","leaf","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Neg C D_1",0,"negative",,,"conflated","D","plank","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Neg M E_1",0,"negative",,,"manner","E","chair","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Aff M A_1",100,"affirmative",,,"manner","A","leaf","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Neg 0 B_1",100,"negative",,,"no_motion","B","car","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Aff C B_1",100,"affirmative",,,"conflated","B","car","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Aff C C_1",100,"affirmative",,,"conflated","C","paper","1",,52.704627669473,,TRUE,
"baseline1","baseline1_019","Aff P E_1",100,"affirmative",,,"path","E","chair","1",,52.704627669473,,TRUE,
"baseline1","baseline1_020","Neg P E_1",0,"negative",,,"path","E","chair","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Neg P C_1",0,"negative",,,"path","C","paper","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Neg M A_1",0,"negative",,,"manner","A","leaf","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Neg C B_1",0,"negative",,,"conflated","B","car","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Aff 0 B_1",39,"affirmative",,,"no_motion","B","car","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Aff P A_1",100,"affirmative",,,"path","A","leaf","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Aff C D_1",100,"affirmative",,,"conflated","D","plank","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Aff M C_1",100,"affirmative",,,"manner","C","paper","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Aff C E_1",100,"affirmative",,,"conflated","E","chair","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_020","Neg 0 D_1",100,"negative",,,"no_motion","D","plank","1",,49.9654324953206,,TRUE,
"baseline1","baseline1_021","Neg P C_1",2,"negative",,,"path","C","paper","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Neg P E_1",3,"negative",,,"path","E","chair","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Neg C B_1",4,"negative",,,"conflated","B","car","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Aff 0 B_1",10,"affirmative",,,"no_motion","B","car","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Neg M A_1",38,"negative",,,"manner","A","leaf","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Neg 0 D_1",63,"negative",,,"no_motion","D","plank","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Aff C D_1",66,"affirmative",,,"conflated","D","plank","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Aff M C_1",82,"affirmative",,,"manner","C","paper","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Aff P A_1",89,"affirmative",,,"path","A","leaf","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_021","Aff C E_1",93,"affirmative",,,"conflated","E","chair","1",,37.9209704517171,,TRUE,
"baseline1","baseline1_022","Neg C C_1",0,"negative",,,"conflated","C","paper","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Aff 0 C_1",0,"affirmative",,,"no_motion","C","paper","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Neg P D_1",0,"negative",,,"path","D","plank","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Neg M B_1",0,"negative",,,"manner","B","car","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Aff P B_1",67,"affirmative",,,"path","B","car","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Neg 0 A_1",86,"negative",,,"no_motion","A","leaf","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Neg 0 E_1",90,"negative",,,"no_motion","E","chair","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Aff M D_1",90,"affirmative",,,"manner","D","plank","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Aff M E_1",90,"affirmative",,,"manner","E","chair","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_022","Aff C A_1",100,"affirmative",,,"conflated","A","leaf","1",,45.7433662464357,,TRUE,
"baseline1","baseline1_023","Neg C C_1",0,"negative",,,"conflated","C","paper","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Aff 0 C_1",0,"affirmative",,,"no_motion","C","paper","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Neg P D_1",0,"negative",,,"path","D","plank","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Neg M B_1",0,"negative",,,"manner","B","car","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Neg 0 E_1",65,"negative",,,"no_motion","E","chair","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Aff P B_1",80,"affirmative",,,"path","B","car","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Neg 0 A_1",88,"negative",,,"no_motion","A","leaf","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Aff M E_1",90,"affirmative",,,"manner","E","chair","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Aff M D_1",92,"affirmative",,,"manner","D","plank","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_023","Aff C A_1",100,"affirmative",,,"conflated","A","leaf","1",,45.2284325520033,,TRUE,
"baseline1","baseline1_024","Neg P B_1",1,"negative",,,"path","B","car","1",,36.8275259373565,,TRUE,
"baseline1","baseline1_024","Neg C E_1",2,"negative",,,"conflated","E","chair","1",,36.8275259373565,,TRUE,
"baseline1","baseline1_024","Neg P A_1",2,"negative",,,"path","A","leaf","1",,36.8275259373565,,TRUE,
"baseline1","baseline1_024","Aff 0 E_1",3,"affirmative",,,"no_motion","E","chair","1",,36.8275259373565,,TRUE,
